query,country,category,domain,homepage_url,http_status,duration_ms,emails_all,email_best,phones,priority,last_seen,email_sent
universidad site:.bo,bo,universidad,ucebol.edu.bo,https://www.ucebol.edu.bo/,200,2018,info@ucebol.edu.bo,info@ucebol.edu.bo,"20250919194948, 080270 100, 90059987",9,2025-09-24T11:14:03.244038,No
universidad site:.bo,bo,universidad,ucatec.edu.bo,https://ucatec.edu.bo/,200,458,pregrado@ucatec.edu.bo,pregrado@ucatec.edu.bo,"19-3200-817, 68373883458, 135689427819, 6442-5568-5320, 46491234, 285883050, 77986903, 49256177",10,2025-09-24T11:14:01.685033,No
universidad site:.uy,uy,universidad,um.edu.uy,https://www.um.edu.uy/,200,1149,info@um.edu.uy,info@um.edu.uy,"175844412, 83-588469, 66487257, 529726894, 509763702, 19608988094, 426155491, 3754798-243, 16855348, 48943067, 24773768078645, 83171314791, 13089.35325786, 56.1603831, 34.8979585, 1567775071112, +59827074461, 436397943",1,2025-09-24T11:42:42.151768,No
universidad site:.uy,uy,universidad,ucu.edu.uy,https://www.ucu.edu.uy/,200,717,"infoweb@ucu.edu.uy, campus.puntadeleste@ucu.edu.uy, campus.salto@ucu.edu.uy",infoweb@ucu.edu.uy,"20251508, 20231204, 455762385071935, 20230712, 20230620, +598) 2487 2717, +598) 4248 7093, +598) 97354336, 20211307, 20232403",2,2025-09-24T11:42:41.720343,No
universidad site:.uy,uy,universidad,utec.edu.uy,https://utec.edu.uy/,200,761,consultas@utec.edu.uy,consultas@utec.edu.uy,"1732106031, 785836037, 29253688, 74940596, +598) 2603 8832, 59892342583",6,2025-09-24T11:42:41.764623,No
universidad site:.co,co,universidad,udea.edu.co,https://www.udea.edu.co/,200,1114,"notifica.judiciales@udea.edu.co, atencionciudadano@udea.edu.co",atencionciudadano@udea.edu.co,"1720379141484, 1712680678000, 000000000000000, 000000000, 1712667274000, 1712667272000, 1720378034592, 007898799129263, 87-1275-4506, 8-8283653202, 57496914, 4-57496914, 2373413649, 86455-834, 024.001.047.003, 205.081.391.212, 132.14.318.227, 146.097.323.159, 029.001.057.004, 516.418.934.934, 169.108.371.181, 039.001.059, 305.122.582.321, 784.196.203.471, 328.775.328, 19.001.285.002, 178.111.393, 18.623.187, 890980040, 01 8000 416384, +57-604) 219 5028, 1756252122005, 1712682814000, 1721333326",2,2025-09-24T11:54:21.096616,No
universidad site:.co,co,universidad,ucaldas.edu.co,https://www.ucaldas.edu.co/portal/,200,1070,"atencionalciudadano@ucaldas.edu.co, gestion.juridica@ucaldas.edu.co",gestion.juridica@ucaldas.edu.co,"1469697216174, 00000070, 83838382, 00000052, 00000069, 00000026, (255 255 255, 00000047, 00000054, 00000080, 00000066, 00000078, 1715867733890, 1751546323396, 1715867766051, 1715867802103, 1701352259637, 1709754013513, 1920-506-300, 1920-506-1024, 1920-506-768, 1920-506-1536, 1-1758689180, 1727226689822, 1698678946645, 1698678946695, 1698679698777, 1698679773601, 1698679888640, 1698679936307, 1537993512, 1182769823, 1756496121787, 2147483647, 0010-097-021, 1999999999, 66293356",3,2025-09-24T11:54:21.051950,No
universidad site:.co,co,universidad,escuelaing.edu.co,https://www.escuelaing.edu.co/es/redirecciones/universidad-de-miami/,200,2204,webmaster@miami.edu,webmaster@miami.edu,"305-284-2374, 305-284-2211",4,2025-09-24T11:54:22.186035,No
universidad site:.co,co,universidad,unisabana.edu.co,https://www.unisabana.edu.co/,200,737,"protecciondedatos@unisabana.edu.co, u003eprotecciondedatos@unisabana.edu.co, servicious@unisabana.edu.co, notificacioneslegales@unisabana.edu.co",servicious@unisabana.edu.co,"2147483647, 95047677, 06672851731, 00000026, 00000040, 680485159, 0209908938, 4351687002, 242533594911968, 53933016404, 139932907, 32194300, 49991683, 6776475134, 5106262835, 8313999934, 7046670889, 26027762-346, 7512464710, 4003203345, 76970715, 14749929, 49433412, 325369074, 10348763, 63048023, 428099509, 919250238410, 311049209, 2100489091, 968263044465, 99981699646, 00499742, 70051425, 728604306, 567141436, 81940105, 86899197, 186.678 143.383, 223.235 143.383, 252.87 113.748, 87 40.6349 223, 235 11 186.678, 122 11 120.487, 40.6349 120.487, 120.487 113.748, 150.122 143.383, 186.679 329.922, 223.235 329.922, 252.87 300.287, 252.87 227.174, 223.235 197.539, 186.679 197.539, 150.122 197.539, 120.487 227.174, 120.487 263, 120.487 300.287, 150.122 329.922, 252.87 486.826, 223.235 516.461, 186.679 516.461, 150.122 516.461, 120.487 486.826, 120.487 450, 120.487 413.713, 150.122 384.078, 186.679 384.078, 223.235 384.078, 252.87 413.713, 186.679 703, 223.235 703 252, 87 673.365 252, 87 636.809, 252.87 600.252, 223.235 570.617, 186.679 570.617, 150.122 570.617, 120.487 600.252, 120.487 636.809, 120.487 673.365, 150.122 703 186, 84.3827 179.487, 84.3827 216.044, 54.7479 245.678, 18.1914 245.678, 18.3651 245.678, 47.9999 216.044, 47.9999 179.487, 47.9999 142.931, 18.3651 113.296, 18.1914 113.296, 54.7479 113.296, 84.3827 142.931, 42.261 426, 78.8175 426, 2 108.452 396, 565 108.452 360, 108.452 323.452, 78.8175 293.817, 42.261 293.817, 5.70459 293, 23.9302 323.452, 23.9302 360.009, 23.9302 396.565, 5.70459 426, 2 42.261 426, 84.3826 540.531, 84.3826 577.087, 54.7478 606.722, 18.1913 606.722, 18.3651 606.722, 48 577.087, 48 540.531, 48 503.974, 18.3651 474.339, 18.1913 474.339, 54.7478 474.339, 84.3826 503.974, 355.165 474.339, 318.609 474.339, 288.974 503.974, 288.974 540.531, 288.974 577.087, 318.609 606.722, 355.165 606.722, 391.722 606.722, 421.357 577.087, 421.357 540.531, 421.357 503.974, 391.722 474.339, 264.905 360.009, 264.905 323.453, 294.54 293.818, 331.096 293.818, 367.653 293.818, 397.288 323.453, 397.288 360.009, 397.288 396.566, 367.653 426, 2 331.096 426, 2 264.905 396, 566 264.905 360, 355.165 113.296, 318.609 113.296, 288.974 142.931, 288.974 179.487, 288.974 216.044, 318.609 245.679, 355.165 245.679, 391.722 245.679, 421.357 216.044, 421.357 179.487, 421.357 142.931, 391.722 113.296, 364.843 151, 53 389.846 126, 564 389.846, 846 64.9669 364, 157 40 278.154, 64.9669 278.154, 278.154 126.564, 303.157 151, 53 334 151, 334 308.687, 364.843 308.687, 389.846 283, 72 389.846 252, 389.846 222.123, 364.843 197.156, 334 197.156, 303.157 197.156, 278.154 222.123, 278.154 252.922, 278.154 283, 72 303.157 308, 687 334 308.687, 389.846 410.078, 389.846 440.877, 364.843 465.844, 334 465.844, 303.157 465.844, 278.154 440.877, 278.154 410.078, 278.154 379, 28 303.157 354, 313 334 354.313, 364.843 354.313, 389.846 379, 28 389.846 410, 364.843 623 389, 846 598.033 389, 846 567.235, 389.846 536.437, 364.843 511, 47 334 511, 303.157 511, 47 278.154 536, 437 278.154 567, 278.154 598.033, 303.157 623 334, 247.692 181.948, 247.692 212.746, 222.689 237.713, 191.846 237.713, 161.003 237.713, 136 212.746 136, 151.15 161.003, 126.183 191.846, 222.689 126.183, 247.692 151, 15 247.692 181, 212.154 389, 242.997 389, 8 268 364.833, 268 334.035, 268 303.237 242, 278.27 212.154, 181.311 278, 27 156.308 303, 237 156.308 334, 156.308 364.833, 181.311 389, 8 212.154 389, 247.692 486.122, 247.692 516, 92 222.689 541, 887 191.846 541, 161.003 541.887, 516.92 136 486, 136 455.324 161, 003 430.357 191, 846 430.357, 222.689 430.357, 247.692 455.324, 476.154 430.357, 445.311 430.357, 420.308 455.324, 420.308 486.122, 420.308 516, 92 445.311 541, 887 476.154 541, 506.997 541.887, 516.92 532 486, 532 455.324 506, 997 430.357 476, 154 430.357, 400 334.035, 400 303.237 425, 278.27 455.847, 278.27 511.693, 303.237 511.693, 511.693 364.833, 8 455.847 389, 425.004 389, 8 400 364.833, 476.154 126.183, 445.311 126.183, 420.308 151, 15 420.308 181, 420.308 212.746, 445.311 237.713, 476.154 237.713, 506.997 237.713, 532 212.747 532, 151.15 506.997, 126.183 476.154, 396 146.197, 426.843 146.197, 451.846 121.117, 846 59.2408 426, 843 34.1607 396, 157 34.1607 340, 154 59.2408 340, 340.154 121.117, 365.157 146.197, 396 304.065, 426.843 304.065, 451.846 278.985, 451.846 248.047, 451.846 217, 11 426.843 192, 029 396 192.029, 365.157 192.029, 340.154 217, 11 340.154 248, 340.154 278.985, 365.157 304.065, 451.846 405.916, 451.846 436.854, 426.843 461.934, 396 461.934, 365.157 461.934, 340.154 436.854, 340.154 405.916, 340.154 374.978, 365.157 349.898, 396 349.898, 426.843 349.898, 451.846 374.978, 396 619.803, 426.843 619.803, 451.846 594.723, 451.846 563.785, 451.846 532.847, 426.843 507.767, 396 507.767, 365.157 507.767, 340.154 532.847, 340.154 563.785, 340.154 594.723, 365.157 619.803, 309.692 176.752, 309.692 207, 69 284.689 232, 77 253.846 232, 223.003 232, 77 198 207, 69 198 176.752, 198 145.814 223, 003 120.734 253, 846 120.734, 284.689 120.734, 309.692 145.814, 274.154 385.546, 304.997 385.546, 330 360.466 330, 298.59 304.997, 273.51 274.154, 243.311 273, 51 218.308 298, 59 218.308 329, 218.308 360.466, 243.311 385.546, 309.692 482.305, 309.692 513.242, 284.689 538.322, 253.846 538.322, 223.003 538.322, 198 513.242 198, 198 451.367 223, 003 426.287 253, 846 426.287, 284.689 426.287, 309.692 451.367, 538.154 426.287, 507.311 426.287, 482.308 451.367, 482.308 482.305, 482.308 513.242, 507.311 538.323, 538.154 538.323, 568.997 538.323, 594 513.242 594, 594 451.367 568, 997 426.287 538, 154 426.287, 462.001 329.528, 462.001 298.591, 487.004 273, 51 517.847 273, 273.51 573.693, 298.591 573.693, 573.693 360.466, 548.69 385.546, 517.847 385.546, 487.004 385.546, 462.001 360.466, 538.154 120.734, 507.311 120.734, 482.308 145.814, 482.308 176.752, 482.308 207, 69 507.311 232, 77 538.154 232, 568.997 232, 77 594 207, 69 594 176.752, 594 145.814 568, 997 120.734 538, 154 120.734, 97292301, 97292302, 180 539.596 496, 180 573.836 239, 180 328.269 339, 180 351.664 164, 97292303, 97292304, 97292305, 78940045, 0248-4601-9199, 4685-8896-5884, 67-777139810, 61-4394310, 37002091, 49-8350-4462, 17-8686-4005, 2-56873767, 64934123, 10-4904-824, 8268481809, (601) 861 5555, 10457454-837, 573205164838",5,2025-09-24T11:54:20.719671,No
universidad site:.co,co,universidad,ut.edu.co,http://www.ut.edu.co/,200,3257,"atencionalciudadano@ut.edu.co, notificacionesjudiciales@ut.edu.co",atencionalciudadano@ut.edu.co,"27859050, 123390124331436, 003443047403719, 573173686404, 890.700.640, 730006299, 018000181313, 3173686404",6,2025-09-24T11:54:23.238678,No
universidad site:.co,co,universidad,urosario.edu.co,https://urosario.edu.co/,200,1600,"tienda.rosarista@urosario.edu.co, juridica@urosario.edu.co",juridica@urosario.edu.co,"+57 6012970200, 05211430534269, 2.179280352, 531037380.1659, 966417-17362080, 58.1659478684, 2.87447004.5310, 37380.16599664, 17-1736208058, 1659478684, 2.146090356, 1764165263.1699, 406388-11914206, 71.1699406270, 2.226712477, 1033465842.1659, 965716-17362080, 00858009, 34392240, 6012970200, (601) 297 0200, 3026636593, 57) 32192958, (601) 422 5321, +601 2970200, (601) 616 0388, 573026636593, 07.34.029.533, 304.533.194, 2.126615245, 1711826076.1663, 789162-12790203, 6.1663678678, 2.41107298.1711, 826076.16637891, 62-127902036, 1663678678, 2.137502320, 2.215003728, 693090543.1666, 273197-14668910, 03.1665060854, 1.258530936, 1666471151, 2.205204112, 1409608667.1666, 375233-11187556, 65.1666375233, 018000 511 888, 224136950, 3219295847, 573219295847, 008497765662561",8,2025-09-24T11:54:21.582370,No
universidad site:.ve,ve,universidad,unimar.edu.ve,https://www.unimar.edu.ve/,200,2108,info@unimar.edu.ve,info@unimar.edu.ve,"1758060531, 1758569803, 1754138973, 0412-595-7440, 3916.79728478, 63.882080185667, 10.978668292184, 1620079489335, 0412.102.2538, 0412.595.7440, 0412.595.7430, 30660040, 249782469, 707011340",3,2025-09-24T11:59:38.038083,No
universidad site:.ve,ve,universidad,ucv.ve,http://www.ucv.ve/,200,1132,serviciosdtic@ucv.ve,serviciosdtic@ucv.ve,"1516222614, 1513015891, 1437073004, 1513086783, 1250108492, 1312405027, 1246889915, 1436293729, 710432779091395, 20102022, 24022022, 6093459417, 2776427786, 20000062",5,2025-09-24T11:59:37.062909,No
universidad site:.ve,ve,universidad,ujap.edu.ve,https://ujap.edu.ve/,200,1731,info@ujap.edu.ve,info@ujap.edu.ve,"9979364075, +58-241-8714240, 33.333333333333, 122667299, 1692273756691, 1694705272725, 6077326-1024, 1694705366293, 179895011998466, 1758629529, 553827786, 180722616683331, 281569539358823, 184829431270729, 1758552991, 552582785, 180722616923331, 524664121470266, 179124537750746, 1758149078, 550413097, 180713512793331, 847710348669692, 184238575390968, 1757891850, 548223124, 180711280523331, 336237378992377, 178784820483971, 1757374960, 544801374, 180704979863331, 374773013787963, 181064821185752, 1756926633, 539933178, 180699507743331, 125145328715899, 179576200378408, 1756337735, 539453035, 180693014303331, 349041026148099, 179541761939953, 1755900218, 536736037, 180688291223331, 319427605963966, 548155313, 792284363505286, 349858365015715, 551784584, 113427827158402, 232961460959880, 552270010, 202382314815278, 701142291435032, 1756754150653, 16.666666666667, 30400858, 132322003",8,2025-09-24T11:59:37.663052,No
universidad site:.ve,ve,universidad,usb.ve,http://www.usb.ve/,200,1740,"ipst@usb.ve, causibo@usb.ve, atausibo@usb.ve, webmaster@usb.ve",ipst@usb.ve,"114590847, 16092382, 20489486, 11542241, 20534667, +58 0212-9063111, +58 0212-9069000",10,2025-09-24T11:59:37.671052,No
universidad site:.ec,ec,universidad,ucuenca.edu.ec,https://www.ucuenca.edu.ec/,200,1912,"asset-4@2x-150x150.png, asset-4@2x.png, d3@7.js",d3@7.js,"34924281, 1758141021, 466643826114406, 1758670361, 1678063402, 20250924, 20250927, 20251027, 20251031, 20251029, 20250908, 20250928, 20251124, 20251128, 06164-560, (07) 413 4520",1,2025-09-24T12:11:56.166448,No
universidad site:.ec,ec,universidad,usfq.edu.ec,http://www.usfq.edu.ec/,200,1242,"admisiones@usfq.edu.ec, no-reply@usfq.edu.ec",admisiones@usfq.edu.ec,"78.437933, 004318631, +59322971821, 02 297 1821, +59322971822, 02 297 1822, +59322971867, 02 506 1867, +593997410135, 09 9741 0135, +593988052155, 09 8805 2155, 84529923, 488255640, 593997410135, +59322971700, 02 506 1700, 3989.79476436, 78.437932984664, 0.196884635464, 69717418176, 1604763228642, 18883109, 507817733, 95352711, 2605367767047, 1.32055.5587, 587.35552.1015, 07618.1523, 1.39672.0761, 1.95542.6094, 76185.1015, 1.32054.5333, 1.72687.2793, 2.69186.7110, 25396.7618, 35553.3047, 83804.0508, 25395.5586, 079.81263.9396, 4.34256.4825, 12697.3809, 6.72969.6856, 1.09199.7110, 1.32054.9904, 38093.4063, 1.14278.2285, 1.34593.9142, 1.44752.7872, 1.80305.9396, 17777.1777, 2.97122.9142, 1.11738.3301, 2.28555.5079, 3.40294.7110, 1.67607.5333, 1.42212.0761, 2.28556.1269, 649.10158.2285, 58408.0254, 1.98081.4317, 786 18.8685.0254, 40633.3301, 2.26016.2285, 6.90745.6856, 11.47856.4317, 3.32675.1777, 2.89503.9142, 2.36174.1777, 4.29176.1523, 40632.7110, 35554.5079, 2.86963.1015, 4.24097.2285, 10158.2793, 4.19018.8888, 2.94582.5840, 1.67607.2285, 2.10778.1269, 12698.6856, 86343.0507, 2.33634.9142, 3.42833.3555, 3.15237.7364, 1.11738.3047, 4.05079.1777, 745.63487.2539, 55869.0761, 20316.1015, 40632.1523, 07618.0761, 88882.5079, 1.29514.3301, 4.22855.3301, 4.25395.6856, 571.33013.1777, 7.68567.3047, 412.40633.4571, 07619.3809, 55869.3809, 1.32054.8634, 88882.8634, 1.29515.8634, 1.16817.8888, 86343.1269, 88883.7872, 1.34594.2031, 58409.0254, 3.68228.3301, 2.28555.6602, 30475.0508, 45712.2793, 66028.4571, 1.32054.7110, 50.76466.4063, 71105.1777, 1.04119.4317, 20316.0254, 38093.1015, 15238.2539, 254.63488.2793, 68566.5840, 13.45937.2031, 33013.0507, 63487.0507, 12698.4063, 22856.0508, 07618.0508, 17776.0508, 12.11343.6602, 079.15237.6602, 7.22856.4317, 1.25395.8126, 1.19357.8888, 1.14277.8888, 27934.3301, 33013.9142, 254.12697.0254, 10158.1015, 7.99943.4825, 12697.3047, 5.12697.6602, 25395.0254, 35553.0507, 27935.1269, 22856.3301, 33014.0761, 30474.3809, 40632.9650, 1.16818.3301, 4.40632.3555, 12698.965, 05078.7364, 12698.0508, 22856.0254, 10158.7618, 2.18398.2793, 2.64109.8126, 4.43171.5587, 1.62529.6602, 2.15858.3809, 1.14278.6856, 5.33295.5840, 2.89503.8888, 1.19357.2793, 2.48872.4571, 3.86005.5840, 1.34593.1269, 2.84424.2031, 4.44413.2031, 2.15858.2793, 2.61569.8126, 4.45711.5587, 3.86005.9142, 2.13318.2793, 649.81264.4317, 5.56152.6348, 3.27596.7618, 78724.4825, 1.06658.1777, 2.18397.4317, 3.37753.7618",2,2025-09-24T12:11:55.497655,No
universidad site:.ec,ec,universidad,udla.edu.ec,https://www.udla.edu.ec/,200,2339,admision@udla.edu.ec,admision@udla.edu.ec,"+59323981000, 593987545694, 77846077, 30-2165-492, 39439244, 34311761, 246088247, 175-1116955, 14866450, 742200878494969, 1730216048326, 201171274984, 1171274984, 392-965293363615, 4184-9099-595, 81-2455-493, 37-4361-946, 02-24146992, 86189533, 34055511, 52-4337-9398, 81-4689-989, 685839649, 78-321348, 99044118, 64-7184940, 07717-580, 8-4411-8694-3829, 75-4374-9474, 6475827730, 8-4815-9687-251, 265269-6726-4491, 0-8954-4112-8930, 6649078-5093, 823-97347944, 525-3220-4513, 49493715, 7354304-328, 065650346, 169-7674-4367, 27482830, 710499282, 35-044388, 21649125, 1-74512470, 242131513, 09247292, 47548844, 88-4771-830, 02-2275-4693, 15-1159-4987, 4566-8544-0655, 91147994, 56659033, 5-4188-4572-8678, 60163-947, 617-6100452, 983430940, 26-8106-713, 63278071, 348923-2582, 1-654685190350, 70258-927, 14653228, 8769-166993, 06239-894, 68961181015, 80-4719-9714, 60065404, 372-424525, 14-8352-0857, 58472425-6701, 9699-5889-4658, 207208241, 86-8739-882, 72-4918-805, 16090737, 63792-915, 37-3266321386, 69182567",4,2025-09-24T12:11:56.592874,No
